name,year,revenue_index,land_area,primary_revenue_source
Qasr el-Wizz ,800,43.0,,"For their own needs, they used a flour mill and an oil press. Their menu consisted of meat (pork, mutton, goat, antelope, etc.), sorghum (in particular sorghum bread: kisra eaten from Meroitic times to the present day) and purslane. They practiced weaving, leather work and wrote documents[3]. They had two iron-casting workshops (furnaces have been found on site).[4][3] They possessed knowledge of medicine as evidenced by the remains of medicinal plants found at the site (Portulaca oleracea, Euphorbia aegyptiaca and Cleome gynandra). Three languages were spoken within the monastery: Coptic for the liturgy, ancient Nubian for everyday language, and Greek, many epigraphic inscriptions or on artifacts testify to this diversity. The average age of death was between 35 and 50 years old, the monks were buried nearby. A cemetery with 800 graves has been excavated to the south of the monastery."
Qasr el-Wizz ,900,68.9,,"For their own needs, they used a flour mill and an oil press. Their menu consisted of meat (pork, mutton, goat, antelope, etc.), sorghum (in particular sorghum bread: kisra eaten from Meroitic times to the present day) and purslane. They practiced weaving, leather work and wrote documents[3]. They had two iron-casting workshops (furnaces have been found on site).[4][3] They possessed knowledge of medicine as evidenced by the remains of medicinal plants found at the site (Portulaca oleracea, Euphorbia aegyptiaca and Cleome gynandra). Three languages were spoken within the monastery: Coptic for the liturgy, ancient Nubian for everyday language, and Greek, many epigraphic inscriptions or on artifacts testify to this diversity. The average age of death was between 35 and 50 years old, the monks were buried nearby. A cemetery with 800 graves has been excavated to the south of the monastery."
Qasr el-Wizz ,1000,94.8,,"For their own needs, they used a flour mill and an oil press. Their menu consisted of meat (pork, mutton, goat, antelope, etc.), sorghum (in particular sorghum bread: kisra eaten from Meroitic times to the present day) and purslane. They practiced weaving, leather work and wrote documents[3]. They had two iron-casting workshops (furnaces have been found on site).[4][3] They possessed knowledge of medicine as evidenced by the remains of medicinal plants found at the site (Portulaca oleracea, Euphorbia aegyptiaca and Cleome gynandra). Three languages were spoken within the monastery: Coptic for the liturgy, ancient Nubian for everyday language, and Greek, many epigraphic inscriptions or on artifacts testify to this diversity. The average age of death was between 35 and 50 years old, the monks were buried nearby. A cemetery with 800 graves has been excavated to the south of the monastery."
Qasr el-Wizz ,1100,73.5,,"For their own needs, they used a flour mill and an oil press. Their menu consisted of meat (pork, mutton, goat, antelope, etc.), sorghum (in particular sorghum bread: kisra eaten from Meroitic times to the present day) and purslane. They practiced weaving, leather work and wrote documents[3]. They had two iron-casting workshops (furnaces have been found on site).[4][3] They possessed knowledge of medicine as evidenced by the remains of medicinal plants found at the site (Portulaca oleracea, Euphorbia aegyptiaca and Cleome gynandra). Three languages were spoken within the monastery: Coptic for the liturgy, ancient Nubian for everyday language, and Greek, many epigraphic inscriptions or on artifacts testify to this diversity. The average age of death was between 35 and 50 years old, the monks were buried nearby. A cemetery with 800 graves has been excavated to the south of the monastery."
Qasr el-Wizz ,1200,40.3,,"For their own needs, they used a flour mill and an oil press. Their menu consisted of meat (pork, mutton, goat, antelope, etc.), sorghum (in particular sorghum bread: kisra eaten from Meroitic times to the present day) and purslane. They practiced weaving, leather work and wrote documents[3]. They had two iron-casting workshops (furnaces have been found on site).[4][3] They possessed knowledge of medicine as evidenced by the remains of medicinal plants found at the site (Portulaca oleracea, Euphorbia aegyptiaca and Cleome gynandra). Three languages were spoken within the monastery: Coptic for the liturgy, ancient Nubian for everyday language, and Greek, many epigraphic inscriptions or on artifacts testify to this diversity. The average age of death was between 35 and 50 years old, the monks were buried nearby. A cemetery with 800 graves has been excavated to the south of the monastery."
Tatev Monastery,900,40.0,,"In the 14th and 15th centuries, the monastery hosted one of the most important Armenian medieval universities, the University of Tatev, which contributed to the advancement of science, religion and philosophy, reproduction of books and development of miniature painting. Scholars of the Tatev University contributed to the preservation of Armenian culture and creed during one of its most turbulent periods in its history. The restoration of the monastery, re-establishing its educational legacy and reviving monastic life at Tatev is one of the main goals of Tatev Revival Program, a part of which is the Wings of Tatev aerial tramway,[2] a cableway from Tatev to the village of Halidzor, which was opened in October 2010.[3][4] It was included in the Guinness World Records as world's ""longest non-stop double track cable car.""[5]"
Tatev Monastery,1000,60.0,,"In the 14th and 15th centuries, the monastery hosted one of the most important Armenian medieval universities, the University of Tatev, which contributed to the advancement of science, religion and philosophy, reproduction of books and development of miniature painting. Scholars of the Tatev University contributed to the preservation of Armenian culture and creed during one of its most turbulent periods in its history. The restoration of the monastery, re-establishing its educational legacy and reviving monastic life at Tatev is one of the main goals of Tatev Revival Program, a part of which is the Wings of Tatev aerial tramway,[2] a cableway from Tatev to the village of Halidzor, which was opened in October 2010.[3][4] It was included in the Guinness World Records as world's ""longest non-stop double track cable car.""[5]"
Tatev Monastery,1100,79.9,,"In the 14th and 15th centuries, the monastery hosted one of the most important Armenian medieval universities, the University of Tatev, which contributed to the advancement of science, religion and philosophy, reproduction of books and development of miniature painting. Scholars of the Tatev University contributed to the preservation of Armenian culture and creed during one of its most turbulent periods in its history. The restoration of the monastery, re-establishing its educational legacy and reviving monastic life at Tatev is one of the main goals of Tatev Revival Program, a part of which is the Wings of Tatev aerial tramway,[2] a cableway from Tatev to the village of Halidzor, which was opened in October 2010.[3][4] It was included in the Guinness World Records as world's ""longest non-stop double track cable car.""[5]"
Tatev Monastery,1200,99.9,,"In the 14th and 15th centuries, the monastery hosted one of the most important Armenian medieval universities, the University of Tatev, which contributed to the advancement of science, religion and philosophy, reproduction of books and development of miniature painting. Scholars of the Tatev University contributed to the preservation of Armenian culture and creed during one of its most turbulent periods in its history. The restoration of the monastery, re-establishing its educational legacy and reviving monastic life at Tatev is one of the main goals of Tatev Revival Program, a part of which is the Wings of Tatev aerial tramway,[2] a cableway from Tatev to the village of Halidzor, which was opened in October 2010.[3][4] It was included in the Guinness World Records as world's ""longest non-stop double track cable car.""[5]"
Tatev Monastery,1300,74.5,,"In the 14th and 15th centuries, the monastery hosted one of the most important Armenian medieval universities, the University of Tatev, which contributed to the advancement of science, religion and philosophy, reproduction of books and development of miniature painting. Scholars of the Tatev University contributed to the preservation of Armenian culture and creed during one of its most turbulent periods in its history. The restoration of the monastery, re-establishing its educational legacy and reviving monastic life at Tatev is one of the main goals of Tatev Revival Program, a part of which is the Wings of Tatev aerial tramway,[2] a cableway from Tatev to the village of Halidzor, which was opened in October 2010.[3][4] It was included in the Guinness World Records as world's ""longest non-stop double track cable car.""[5]"
Tatev Monastery,1400,49.0,,"In the 14th and 15th centuries, the monastery hosted one of the most important Armenian medieval universities, the University of Tatev, which contributed to the advancement of science, religion and philosophy, reproduction of books and development of miniature painting. Scholars of the Tatev University contributed to the preservation of Armenian culture and creed during one of its most turbulent periods in its history. The restoration of the monastery, re-establishing its educational legacy and reviving monastic life at Tatev is one of the main goals of Tatev Revival Program, a part of which is the Wings of Tatev aerial tramway,[2] a cableway from Tatev to the village of Halidzor, which was opened in October 2010.[3][4] It was included in the Guinness World Records as world's ""longest non-stop double track cable car.""[5]"
Bodbe Monastery,1700,45.6,,
Bodbe Monastery,1800,76.7,,
Bodbe Monastery,1900,90.1,,
Bodbe Monastery,2000,50.3,,
Alaverdi Monastery,600,30.0,,
Alaverdi Monastery,700,46.7,,
Alaverdi Monastery,800,63.3,,
Alaverdi Monastery,900,80.0,,
Alaverdi Monastery,1000,96.7,,
Alaverdi Monastery,1100,82.9,,
Alaverdi Monastery,1200,61.6,,
Alaverdi Monastery,1300,40.2,,
Jvari (monastery),600,81.9,,
Zedazeni Monastery,800,31.9,,
Zedazeni Monastery,900,41.2,,
Zedazeni Monastery,1000,50.6,,
Zedazeni Monastery,1100,60.0,,
Zedazeni Monastery,1200,69.4,,
Zedazeni Monastery,1300,78.7,,
Zedazeni Monastery,1400,88.1,,
Zedazeni Monastery,1500,97.5,,
Zedazeni Monastery,1600,91.2,,
Zedazeni Monastery,1700,79.2,,
Zedazeni Monastery,1800,67.2,,
Zedazeni Monastery,1900,55.2,,
Zedazeni Monastery,2000,43.1,,
Khor Virap Monastery,400,36.7,,
Khor Virap Monastery,500,43.5,,
Khor Virap Monastery,600,50.2,,
Khor Virap Monastery,700,57.0,,
Khor Virap Monastery,800,63.8,,
Khor Virap Monastery,900,70.5,,
Khor Virap Monastery,1000,77.3,,
Khor Virap Monastery,1100,84.1,,
Khor Virap Monastery,1200,90.8,,
Khor Virap Monastery,1300,97.6,,
Khor Virap Monastery,1400,94.4,,
Khor Virap Monastery,1500,85.7,,
Khor Virap Monastery,1600,77.0,,
Khor Virap Monastery,1700,68.3,,
Khor Virap Monastery,1800,59.6,,
Khor Virap Monastery,1900,50.9,,
Khor Virap Monastery,2000,42.3,,
David Gareja monastery complex,600,34.0,,
David Gareja monastery complex,700,41.9,,
David Gareja monastery complex,800,49.8,,
David Gareja monastery complex,900,57.7,,
David Gareja monastery complex,1000,65.6,,
David Gareja monastery complex,1100,73.5,,
David Gareja monastery complex,1200,81.4,,
David Gareja monastery complex,1300,89.3,,
David Gareja monastery complex,1400,97.2,,
David Gareja monastery complex,1500,93.4,,
David Gareja monastery complex,1600,83.2,,
David Gareja monastery complex,1700,73.1,,
David Gareja monastery complex,1800,62.9,,
David Gareja monastery complex,1900,52.8,,
David Gareja monastery complex,2000,42.6,,
Geghard Monastery,400,33.5,,"While the main chapel was built in 1215, the monastery complex was founded in the 4th century by Gregory the Illuminator at the site of a sacred spring inside a cave. The monastery had thus been originally named Ayrivank (Այրիվանք), meaning ""the Monastery of the Cave"". The name commonly used for the monastery today, Geghard, or more fully Geghardavank (Գեղարդավանք), meaning ""the Monastery of the Spear"", originates from the spear which had wounded Jesus at the Crucifixion, allegedly brought to Armenia by Apostle Jude, called here Thaddeus, and stored amongst many other relics. Now it is displayed in the Echmiadzin treasury."
Geghard Monastery,500,40.4,,"While the main chapel was built in 1215, the monastery complex was founded in the 4th century by Gregory the Illuminator at the site of a sacred spring inside a cave. The monastery had thus been originally named Ayrivank (Այրիվանք), meaning ""the Monastery of the Cave"". The name commonly used for the monastery today, Geghard, or more fully Geghardavank (Գեղարդավանք), meaning ""the Monastery of the Spear"", originates from the spear which had wounded Jesus at the Crucifixion, allegedly brought to Armenia by Apostle Jude, called here Thaddeus, and stored amongst many other relics. Now it is displayed in the Echmiadzin treasury."
Geghard Monastery,600,47.4,,"While the main chapel was built in 1215, the monastery complex was founded in the 4th century by Gregory the Illuminator at the site of a sacred spring inside a cave. The monastery had thus been originally named Ayrivank (Այրիվանք), meaning ""the Monastery of the Cave"". The name commonly used for the monastery today, Geghard, or more fully Geghardavank (Գեղարդավանք), meaning ""the Monastery of the Spear"", originates from the spear which had wounded Jesus at the Crucifixion, allegedly brought to Armenia by Apostle Jude, called here Thaddeus, and stored amongst many other relics. Now it is displayed in the Echmiadzin treasury."
Geghard Monastery,700,54.4,,"While the main chapel was built in 1215, the monastery complex was founded in the 4th century by Gregory the Illuminator at the site of a sacred spring inside a cave. The monastery had thus been originally named Ayrivank (Այրիվանք), meaning ""the Monastery of the Cave"". The name commonly used for the monastery today, Geghard, or more fully Geghardavank (Գեղարդավանք), meaning ""the Monastery of the Spear"", originates from the spear which had wounded Jesus at the Crucifixion, allegedly brought to Armenia by Apostle Jude, called here Thaddeus, and stored amongst many other relics. Now it is displayed in the Echmiadzin treasury."
Geghard Monastery,800,61.3,,"While the main chapel was built in 1215, the monastery complex was founded in the 4th century by Gregory the Illuminator at the site of a sacred spring inside a cave. The monastery had thus been originally named Ayrivank (Այրիվանք), meaning ""the Monastery of the Cave"". The name commonly used for the monastery today, Geghard, or more fully Geghardavank (Գեղարդավանք), meaning ""the Monastery of the Spear"", originates from the spear which had wounded Jesus at the Crucifixion, allegedly brought to Armenia by Apostle Jude, called here Thaddeus, and stored amongst many other relics. Now it is displayed in the Echmiadzin treasury."
Geghard Monastery,900,68.3,,"While the main chapel was built in 1215, the monastery complex was founded in the 4th century by Gregory the Illuminator at the site of a sacred spring inside a cave. The monastery had thus been originally named Ayrivank (Այրիվանք), meaning ""the Monastery of the Cave"". The name commonly used for the monastery today, Geghard, or more fully Geghardavank (Գեղարդավանք), meaning ""the Monastery of the Spear"", originates from the spear which had wounded Jesus at the Crucifixion, allegedly brought to Armenia by Apostle Jude, called here Thaddeus, and stored amongst many other relics. Now it is displayed in the Echmiadzin treasury."
Geghard Monastery,1000,75.3,,"While the main chapel was built in 1215, the monastery complex was founded in the 4th century by Gregory the Illuminator at the site of a sacred spring inside a cave. The monastery had thus been originally named Ayrivank (Այրիվանք), meaning ""the Monastery of the Cave"". The name commonly used for the monastery today, Geghard, or more fully Geghardavank (Գեղարդավանք), meaning ""the Monastery of the Spear"", originates from the spear which had wounded Jesus at the Crucifixion, allegedly brought to Armenia by Apostle Jude, called here Thaddeus, and stored amongst many other relics. Now it is displayed in the Echmiadzin treasury."
Geghard Monastery,1100,82.2,,"While the main chapel was built in 1215, the monastery complex was founded in the 4th century by Gregory the Illuminator at the site of a sacred spring inside a cave. The monastery had thus been originally named Ayrivank (Այրիվանք), meaning ""the Monastery of the Cave"". The name commonly used for the monastery today, Geghard, or more fully Geghardavank (Գեղարդավանք), meaning ""the Monastery of the Spear"", originates from the spear which had wounded Jesus at the Crucifixion, allegedly brought to Armenia by Apostle Jude, called here Thaddeus, and stored amongst many other relics. Now it is displayed in the Echmiadzin treasury."
Geghard Monastery,1200,89.2,,"While the main chapel was built in 1215, the monastery complex was founded in the 4th century by Gregory the Illuminator at the site of a sacred spring inside a cave. The monastery had thus been originally named Ayrivank (Այրիվանք), meaning ""the Monastery of the Cave"". The name commonly used for the monastery today, Geghard, or more fully Geghardavank (Գեղարդավանք), meaning ""the Monastery of the Spear"", originates from the spear which had wounded Jesus at the Crucifixion, allegedly brought to Armenia by Apostle Jude, called here Thaddeus, and stored amongst many other relics. Now it is displayed in the Echmiadzin treasury."
Geghard Monastery,1300,96.2,,"While the main chapel was built in 1215, the monastery complex was founded in the 4th century by Gregory the Illuminator at the site of a sacred spring inside a cave. The monastery had thus been originally named Ayrivank (Այրիվանք), meaning ""the Monastery of the Cave"". The name commonly used for the monastery today, Geghard, or more fully Geghardavank (Գեղարդավանք), meaning ""the Monastery of the Spear"", originates from the spear which had wounded Jesus at the Crucifixion, allegedly brought to Armenia by Apostle Jude, called here Thaddeus, and stored amongst many other relics. Now it is displayed in the Echmiadzin treasury."
Geghard Monastery,1400,96.0,,"While the main chapel was built in 1215, the monastery complex was founded in the 4th century by Gregory the Illuminator at the site of a sacred spring inside a cave. The monastery had thus been originally named Ayrivank (Այրիվանք), meaning ""the Monastery of the Cave"". The name commonly used for the monastery today, Geghard, or more fully Geghardavank (Գեղարդավանք), meaning ""the Monastery of the Spear"", originates from the spear which had wounded Jesus at the Crucifixion, allegedly brought to Armenia by Apostle Jude, called here Thaddeus, and stored amongst many other relics. Now it is displayed in the Echmiadzin treasury."
Geghard Monastery,1500,87.0,,"While the main chapel was built in 1215, the monastery complex was founded in the 4th century by Gregory the Illuminator at the site of a sacred spring inside a cave. The monastery had thus been originally named Ayrivank (Այրիվանք), meaning ""the Monastery of the Cave"". The name commonly used for the monastery today, Geghard, or more fully Geghardavank (Գեղարդավանք), meaning ""the Monastery of the Spear"", originates from the spear which had wounded Jesus at the Crucifixion, allegedly brought to Armenia by Apostle Jude, called here Thaddeus, and stored amongst many other relics. Now it is displayed in the Echmiadzin treasury."
Geghard Monastery,1600,78.1,,"While the main chapel was built in 1215, the monastery complex was founded in the 4th century by Gregory the Illuminator at the site of a sacred spring inside a cave. The monastery had thus been originally named Ayrivank (Այրիվանք), meaning ""the Monastery of the Cave"". The name commonly used for the monastery today, Geghard, or more fully Geghardavank (Գեղարդավանք), meaning ""the Monastery of the Spear"", originates from the spear which had wounded Jesus at the Crucifixion, allegedly brought to Armenia by Apostle Jude, called here Thaddeus, and stored amongst many other relics. Now it is displayed in the Echmiadzin treasury."
Geghard Monastery,1700,69.2,,"While the main chapel was built in 1215, the monastery complex was founded in the 4th century by Gregory the Illuminator at the site of a sacred spring inside a cave. The monastery had thus been originally named Ayrivank (Այրիվանք), meaning ""the Monastery of the Cave"". The name commonly used for the monastery today, Geghard, or more fully Geghardavank (Գեղարդավանք), meaning ""the Monastery of the Spear"", originates from the spear which had wounded Jesus at the Crucifixion, allegedly brought to Armenia by Apostle Jude, called here Thaddeus, and stored amongst many other relics. Now it is displayed in the Echmiadzin treasury."
Geghard Monastery,1800,60.2,,"While the main chapel was built in 1215, the monastery complex was founded in the 4th century by Gregory the Illuminator at the site of a sacred spring inside a cave. The monastery had thus been originally named Ayrivank (Այրիվանք), meaning ""the Monastery of the Cave"". The name commonly used for the monastery today, Geghard, or more fully Geghardavank (Գեղարդավանք), meaning ""the Monastery of the Spear"", originates from the spear which had wounded Jesus at the Crucifixion, allegedly brought to Armenia by Apostle Jude, called here Thaddeus, and stored amongst many other relics. Now it is displayed in the Echmiadzin treasury."
Geghard Monastery,1900,51.3,,"While the main chapel was built in 1215, the monastery complex was founded in the 4th century by Gregory the Illuminator at the site of a sacred spring inside a cave. The monastery had thus been originally named Ayrivank (Այրիվանք), meaning ""the Monastery of the Cave"". The name commonly used for the monastery today, Geghard, or more fully Geghardavank (Գեղարդավանք), meaning ""the Monastery of the Spear"", originates from the spear which had wounded Jesus at the Crucifixion, allegedly brought to Armenia by Apostle Jude, called here Thaddeus, and stored amongst many other relics. Now it is displayed in the Echmiadzin treasury."
Geghard Monastery,2000,42.3,,"While the main chapel was built in 1215, the monastery complex was founded in the 4th century by Gregory the Illuminator at the site of a sacred spring inside a cave. The monastery had thus been originally named Ayrivank (Այրիվանք), meaning ""the Monastery of the Cave"". The name commonly used for the monastery today, Geghard, or more fully Geghardavank (Գեղարդավանք), meaning ""the Monastery of the Spear"", originates from the spear which had wounded Jesus at the Crucifixion, allegedly brought to Armenia by Apostle Jude, called here Thaddeus, and stored amongst many other relics. Now it is displayed in the Echmiadzin treasury."
Katskhi Monastery,1100,40.3,,"Life on the Pillar: A monk living on Katskhi Pillar in medieval times would have experienced profound solitude. Access was via a dangerous rope ladder, isolating him from all but the most determined visitors or support personnel. Life would have been focused on constant prayer, fasting, contemplation, and likely manual labor involved in daily survival on the limited space. It was a form of stylitism, though the ""pillar"" is a broad rock formation, not a narrow column.

Supporting Community at the Base: While the most famous aspect is the life on the pillar, there would have been a supporting community (perhaps just a few monks or lay helpers) at the base during the medieval period. They would have been responsible for hoisting supplies (food, water, building materials), communicating with the hermit, and potentially maintaining a church or chapel at ground level for broader worship."
Katskhi Monastery,1200,51.8,,"Life on the Pillar: A monk living on Katskhi Pillar in medieval times would have experienced profound solitude. Access was via a dangerous rope ladder, isolating him from all but the most determined visitors or support personnel. Life would have been focused on constant prayer, fasting, contemplation, and likely manual labor involved in daily survival on the limited space. It was a form of stylitism, though the ""pillar"" is a broad rock formation, not a narrow column.

Supporting Community at the Base: While the most famous aspect is the life on the pillar, there would have been a supporting community (perhaps just a few monks or lay helpers) at the base during the medieval period. They would have been responsible for hoisting supplies (food, water, building materials), communicating with the hermit, and potentially maintaining a church or chapel at ground level for broader worship."
Katskhi Monastery,1300,63.3,,"Life on the Pillar: A monk living on Katskhi Pillar in medieval times would have experienced profound solitude. Access was via a dangerous rope ladder, isolating him from all but the most determined visitors or support personnel. Life would have been focused on constant prayer, fasting, contemplation, and likely manual labor involved in daily survival on the limited space. It was a form of stylitism, though the ""pillar"" is a broad rock formation, not a narrow column.

Supporting Community at the Base: While the most famous aspect is the life on the pillar, there would have been a supporting community (perhaps just a few monks or lay helpers) at the base during the medieval period. They would have been responsible for hoisting supplies (food, water, building materials), communicating with the hermit, and potentially maintaining a church or chapel at ground level for broader worship."
Katskhi Monastery,1400,74.8,,"Life on the Pillar: A monk living on Katskhi Pillar in medieval times would have experienced profound solitude. Access was via a dangerous rope ladder, isolating him from all but the most determined visitors or support personnel. Life would have been focused on constant prayer, fasting, contemplation, and likely manual labor involved in daily survival on the limited space. It was a form of stylitism, though the ""pillar"" is a broad rock formation, not a narrow column.

Supporting Community at the Base: While the most famous aspect is the life on the pillar, there would have been a supporting community (perhaps just a few monks or lay helpers) at the base during the medieval period. They would have been responsible for hoisting supplies (food, water, building materials), communicating with the hermit, and potentially maintaining a church or chapel at ground level for broader worship."
Katskhi Monastery,1500,86.3,,"Life on the Pillar: A monk living on Katskhi Pillar in medieval times would have experienced profound solitude. Access was via a dangerous rope ladder, isolating him from all but the most determined visitors or support personnel. Life would have been focused on constant prayer, fasting, contemplation, and likely manual labor involved in daily survival on the limited space. It was a form of stylitism, though the ""pillar"" is a broad rock formation, not a narrow column.

Supporting Community at the Base: While the most famous aspect is the life on the pillar, there would have been a supporting community (perhaps just a few monks or lay helpers) at the base during the medieval period. They would have been responsible for hoisting supplies (food, water, building materials), communicating with the hermit, and potentially maintaining a church or chapel at ground level for broader worship."
Katskhi Monastery,1600,97.8,,"Life on the Pillar: A monk living on Katskhi Pillar in medieval times would have experienced profound solitude. Access was via a dangerous rope ladder, isolating him from all but the most determined visitors or support personnel. Life would have been focused on constant prayer, fasting, contemplation, and likely manual labor involved in daily survival on the limited space. It was a form of stylitism, though the ""pillar"" is a broad rock formation, not a narrow column.

Supporting Community at the Base: While the most famous aspect is the life on the pillar, there would have been a supporting community (perhaps just a few monks or lay helpers) at the base during the medieval period. They would have been responsible for hoisting supplies (food, water, building materials), communicating with the hermit, and potentially maintaining a church or chapel at ground level for broader worship."
Katskhi Monastery,1700,88.1,,"Life on the Pillar: A monk living on Katskhi Pillar in medieval times would have experienced profound solitude. Access was via a dangerous rope ladder, isolating him from all but the most determined visitors or support personnel. Life would have been focused on constant prayer, fasting, contemplation, and likely manual labor involved in daily survival on the limited space. It was a form of stylitism, though the ""pillar"" is a broad rock formation, not a narrow column.

Supporting Community at the Base: While the most famous aspect is the life on the pillar, there would have been a supporting community (perhaps just a few monks or lay helpers) at the base during the medieval period. They would have been responsible for hoisting supplies (food, water, building materials), communicating with the hermit, and potentially maintaining a church or chapel at ground level for broader worship."
Katskhi Monastery,1800,73.3,,"Life on the Pillar: A monk living on Katskhi Pillar in medieval times would have experienced profound solitude. Access was via a dangerous rope ladder, isolating him from all but the most determined visitors or support personnel. Life would have been focused on constant prayer, fasting, contemplation, and likely manual labor involved in daily survival on the limited space. It was a form of stylitism, though the ""pillar"" is a broad rock formation, not a narrow column.

Supporting Community at the Base: While the most famous aspect is the life on the pillar, there would have been a supporting community (perhaps just a few monks or lay helpers) at the base during the medieval period. They would have been responsible for hoisting supplies (food, water, building materials), communicating with the hermit, and potentially maintaining a church or chapel at ground level for broader worship."
Katskhi Monastery,1900,58.6,,"Life on the Pillar: A monk living on Katskhi Pillar in medieval times would have experienced profound solitude. Access was via a dangerous rope ladder, isolating him from all but the most determined visitors or support personnel. Life would have been focused on constant prayer, fasting, contemplation, and likely manual labor involved in daily survival on the limited space. It was a form of stylitism, though the ""pillar"" is a broad rock formation, not a narrow column.

Supporting Community at the Base: While the most famous aspect is the life on the pillar, there would have been a supporting community (perhaps just a few monks or lay helpers) at the base during the medieval period. They would have been responsible for hoisting supplies (food, water, building materials), communicating with the hermit, and potentially maintaining a church or chapel at ground level for broader worship."
Katskhi Monastery,2000,43.8,,"Life on the Pillar: A monk living on Katskhi Pillar in medieval times would have experienced profound solitude. Access was via a dangerous rope ladder, isolating him from all but the most determined visitors or support personnel. Life would have been focused on constant prayer, fasting, contemplation, and likely manual labor involved in daily survival on the limited space. It was a form of stylitism, though the ""pillar"" is a broad rock formation, not a narrow column.

Supporting Community at the Base: While the most famous aspect is the life on the pillar, there would have been a supporting community (perhaps just a few monks or lay helpers) at the base during the medieval period. They would have been responsible for hoisting supplies (food, water, building materials), communicating with the hermit, and potentially maintaining a church or chapel at ground level for broader worship."
Katskhi pillar,900,30.0,,
Katskhi pillar,1000,40.4,,
Katskhi pillar,1100,50.7,,
Katskhi pillar,1200,61.1,,
Katskhi pillar,1300,71.5,,
Katskhi pillar,1400,81.9,,
Katskhi pillar,1500,92.2,,
Katskhi pillar,1600,96.7,,
Katskhi pillar,1700,83.4,,
Katskhi pillar,1800,70.1,,
Katskhi pillar,1900,56.8,,
Katskhi pillar,2000,43.5,,
Chulevi Monastery,1400,38.6,,
Chulevi Monastery,1500,55.9,,
Chulevi Monastery,1600,73.2,,
Chulevi Monastery,1700,90.5,,
Chulevi Monastery,1800,90.0,,
Chulevi Monastery,1900,67.9,,
Chulevi Monastery,2000,45.8,,
Gelati Monastery,1200,41.9,,
Gelati Monastery,1300,54.6,,
Gelati Monastery,1400,67.3,,
Gelati Monastery,1500,80.0,,
Gelati Monastery,1600,92.7,,
Gelati Monastery,1700,93.1,,
Gelati Monastery,1800,76.8,,
Gelati Monastery,1900,60.5,,
Gelati Monastery,2000,44.2,,
Martvili Monastery,700,34.2,,
Martvili Monastery,800,42.7,,
Martvili Monastery,900,51.2,,
Martvili Monastery,1000,59.7,,
Martvili Monastery,1100,68.2,,
Martvili Monastery,1200,76.7,,
Martvili Monastery,1300,85.2,,
Martvili Monastery,1400,93.6,,
Martvili Monastery,1500,97.3,,
Martvili Monastery,1600,86.4,,
Martvili Monastery,1700,75.5,,
Martvili Monastery,1800,64.6,,
Martvili Monastery,1900,53.7,,
Martvili Monastery,2000,42.8,,
Istifanos (Hayq) Monastery,1300,37.5,,"Notable possessions
Currently the monastery houses a number of ancient relics, which include a manuscript copy of the Book of the Gospels written around 1280; Egre-muk (or wooden-cuffs), a huge pot which ancient monks used to cook, and other 13th century objects.

Another prized relict is an icon of the Christ child sitting on his mother's knees, known as ""The One Who Listens"", which the monks believe is miraculous. Created in the 15th century, the icon was cleaned and repaired by a British charity, The Ethiopian Heritage Fund in 2010, and subsequently was housed in a special museum as the monastery.[4]"
